,116,119,120,127,128,137,143,144,146,147,150,151,152,153,157,160,161,164,167,168,173,174,195,2000,2001,2002,2003,2004,2005,2006,2008,2009,2010,2012,2017,2021,2022,2023,212,216,217,218,223,224,225,228,229,232,233,236,237,238,239,241,242,243,244,245,247,248,249,250,251,252,254,257,258,259,260,261,262,263,264,265,266,267,268,270,271,274,275,276,278,279,280,281,282,284,285,289,290,291,293,294,295,296,297,298,300,3002,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,334,335,336,337,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,372,373,375,376,377,379,380,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,414,415,416,417,418,419,420,421,422,423,426,427,428,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467,468,469,470,471,472,473,474,475,476,477,478,479,480,481,482,483,484,485,486,487,488,489,490,491,492,493,494,495,496,497,498,499,500,501,502,503,504,505,507,508,509,510,511,512,513,514,515,516,517,518,519,520,521,522,523,525,526,528,529,530,531,532,533,534,536,537,539,540,545,546,72,79,82,83
116,66,0,0,26,18,3,0,1,6,20,1,16,13,60,1,4,12,4,8,79,6,10,6,0,0,1,11,9,0,1,10,0,15,7,1,0,4,1,93,0,2,0,15,1,12,1,8,0,0,16,14,16,0,0,0,0,0,1,19,2,3,21,26,24,4,4,0,2,1,2,0,5,4,7,2,18,1,4,1,2,0,3,0,10,24,6,1,19,28,0,7,0,35,21,2,3,17,0,14,14,2,5,5,9,9,7,4,0,9,1,3,14,0,0,0,11,6,45,9,1,1,0,0,3,25,14,10,15,9,6,1,1,46,2,17,3,0,0,1,2,0,0,34,32,26,22,0,4,2,5,0,0,2,0,19,36,3,1,6,18,21,0,0,1,1,25,23,0,0,20,3,8,8,43,43,27,0,1,2,2,114,0,0,0,0,1,5,0,1,0,0,0,0,5,58,8,28,55,0,0,0,0,11,2,1,1,2,0,4,0,0,0,0,14,6,57,11,13,0,0,18,20,33,93,0,0,15,14,5,5,91,0,45,8,70,47,31,3,30,69,0,2,4,17,57,118,0,19,200,40,2,6,47,1,17,5,39,1,10,1,26,19,10,84,12,18,13,0,21,8,8,18,14,4,42,98,56,26,7,6,81,16,77,87,9,25,4,3,2,74,17,27,19,11,77,8,9,31,7,17,26,5,25,10,42,3,398,2,153,9,7,15,25,16,4,3,25,0,14,41,0,41,17,35,30,5,0,3
119,0,2,0,0,0,0,0,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,21,2,0,0,0,0,0,0,0,0,0,0,0,0,9,1,1,0,0,0,0,0,2,3,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,13,0,1,0,0,9,0,0,1,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,11,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,28,2,0,1,0,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,18,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,3,4,0,0,4,8,2,8,7,0,0,0,0,1,1,0,0,0,2,0,0,1,0,0,0,1,0,0,0,7,31,11,3,0,1,0,0,0,1,0,0,3,0,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,10,1,0,0,0,0,0,1,0,0,16,18,0,0,0,0,0,11,0,0,0,2,13,0,0,0,1,0,1,6,4,0,0,0,0,0,0,0,7,4,0,0,0,0,0,2,0,0,0,3,4,7,0,0,0,3,11,1,0,0,0,0,1,1,14,0,0,0,0,2,0,2,0,0,0,1,7,4,1,7,0,1,0,0,0,0,5,1,0,3,0,0,1,4,6,5,1,3,0,3,1,0,0,0,0,0,4,1,0,0,0,0,0,8,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,0,0,3,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,0,25
127,68,0,0,113,44,5,2,0,19,57,2,61,8,22,0,3,35,0,7,59,4,6,9,1,0,7,6,58,0,2,7,3,22,2,2,0,2,7,52,0,1,1,34,19,35,1,33,2,3,20,21,37,0,0,0,1,0,0,41,11,11,52,37,19,5,17,0,0,3,0,2,15,0,14,3,1,13,0,0,2,0,36,0,5,46,6,0,195,34,0,5,1,45,44,11,1,13,1,15,81,12,5,58,19,1,3,6,14,16,5,1,13,0,0,5,28,4,18,35,11,1,0,3,0,12,17,102,45,45,7,3,1,39,18,58,2,0,3,1,0,1,0,77,97,50,45,0,1,10,3,1,0,13,1,27,29,1,20,7,6,36,0,0,0,1,123,68,1,0,80,13,42,2,64,96,58,0,1,1,5,26,0,0,3,1,3,4,2,0,0,2,0,1,11,35,15,113,93,3,2,0,0,23,2,5,0,5,1,15,8,4,0,4,13,2,126,17,15,3,0,19,12,15,78,0,0,7,20,4,3,53,0,23,19,61,24,19,2,16,60,1,5,0,14,21,62,0,11,49,32,5,11,13,2,8,1,53,7,14,7,21,25,13,21,14,34,5,1,38,52,25,9,27,1,18,18,16,11,0,10,75,17,36,16,8,15,4,1,0,22,12,4,10,44,55,2,11,8,9,42,20,0,25,8,56,1,136,1,26,17,3,13,28,40,7,4,3,1,4,23,6,16,11,14,33,33,1,0
128,51,0,1,70,150,2,3,0,32,35,7,140,14,13,1,5,36,2,2,96,0,18,24,0,0,3,18,13,0,2,31,2,53,14,0,0,12,0,22,0,1,1,20,6,12,4,69,0,5,20,23,9,0,0,0,0,1,0,58,8,6,104,47,32,20,54,0,0,2,0,0,23,2,32,0,5,51,3,3,2,0,16,1,1,25,8,0,73,26,0,3,2,68,51,7,12,10,0,31,62,16,4,42,22,2,8,15,11,7,6,15,69,1,1,3,4,14,2,40,10,0,2,1,0,38,25,89,29,31,10,9,3,20,12,26,2,0,7,12,9,2,0,81,55,60,16,10,19,7,3,13,1,39,2,47,104,3,4,24,3,27,1,0,0,0,63,49,1,4,62,7,11,15,32,93,46,1,0,6,10,19,4,0,1,0,14,12,1,0,7,9,1,3,47,25,37,58,70,5,0,3,0,43,1,12,1,7,0,9,0,0,1,0,6,2,48,5,25,2,0,24,19,8,65,0,1,16,33,3,3,15,1,32,35,15,9,16,4,9,22,3,3,4,3,15,13,4,18,21,17,1,5,15,8,0,4,29,8,20,34,5,13,15,11,7,8,3,3,20,33,6,7,11,2,16,11,10,18,7,7,28,10,27,37,5,9,2,1,19,34,25,37,8,13,21,10,14,8,4,44,6,0,13,3,23,1,33,0,21,8,2,7,5,11,24,18,5,2,3,17,21,22,9,11,10,21,2,4
137,2,0,0,1,2,41,1,0,0,1,1,3,0,20,0,15,0,20,11,2,9,2,0,0,0,0,3,1,0,27,0,0,3,2,12,0,22,8,0,0,0,0,2,1,2,18,1,0,0,5,3,1,0,0,0,0,0,0,1,0,1,6,1,4,0,0,0,0,0,0,0,0,0,2,0,8,2,0,0,1,0,0,0,1,7,29,0,2,1,0,25,0,3,5,0,0,5,1,1,0,1,0,3,1,34,0,0,0,0,0,1,5,0,0,0,0,1,58,0,1,0,0,0,0,4,1,2,2,3,0,0,3,3,1,0,0,0,0,1,0,0,0,3,0,3,1,0,0,0,6,0,0,1,0,1,8,36,1,1,15,0,0,0,0,8,3,2,0,0,2,0,0,4,3,6,0,0,24,0,0,5,1,0,0,0,1,5,0,0,0,0,1,0,1,7,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,2,0,1,1,0,0,2,5,18,30,10,0,17,3,5,7,3,11,9,4,7,6,9,39,9,1,0,8,6,0,31,14,12,0,32,19,0,0,12,2,17,5,22,37,7,27,11,0,4,0,31,17,8,6,34,6,10,3,22,17,4,8,13,11,14,76,12,22,0,8,2,6,10,20,5,16,1,7,12,9,3,3,5,28,40,11,19,12,10,0,19,29,41,7,0,1,8,0,3,11,0,13,4,6,5,0,0,1
143,4,0,0,7,1,0,39,2,5,4,0,10,1,10,40,0,6,0,0,2,0,1,6,42,0,5,0,3,0,0,0,0,2,0,0,0,0,0,4,16,15,1,0,1,2,0,0,3,6,0,1,1,1,7,1,3,1,1,0,2,0,1,0,0,0,6,2,0,0,8,1,1,0,1,0,2,6,8,6,21,0,3,2,0,0,0,0,11,0,1,0,0,7,1,0,0,5,10,1,1,0,0,3,1,0,1,0,0,5,25,0,0,17,6,0,0,0,1,6,7,25,4,8,0,2,0,2,0,0,4,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,4,4,1,0,0,0,0,1,1,0,0,3,2,2,0,0,0,0,0,3,0,0,1,2,0,0,5,0,12,16,1,0,5,46,3,0,0,25,1,0,36,0,0,0,0,1,1,0,50,16,0,0,0,0,2,43,7,8,4,6,0,3,0,0,0,2,0,12,13,4,0,0,0,1,2,5,0,2,1,0,0,0,0,1,0,0,0,0,2,2,0,8,0,4,0,4,4,0,1,1,0,0,1,21,0,0,1,0,0,1,1,0,1,2,0,0,4,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,1,1,3,5,0,0,1,3,0,0,0,0,0,0,1,2,0,0,3,1,2,0,2,0,0,0,0,8
144,0,0,2,0,0,0,0,26,1,0,0,1,2,0,2,6,0,0,0,3,0,0,0,10,0,21,0,1,1,0,1,1,0,1,0,0,0,0,0,6,13,0,0,2,0,0,2,3,1,0,0,0,3,1,9,1,8,1,0,0,0,1,2,0,0,1,9,0,0,2,2,2,0,2,0,0,0,4,17,5,2,0,1,1,0,0,15,0,0,0,0,0,1,1,6,4,1,3,0,0,0,0,1,1,0,0,0,0,0,1,0,0,10,4,1,0,1,0,0,0,6,0,1,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,2,6,0,1,0,4,5,0,0,3,0,0,0,0,9,1,7,17,0,9,4,7,3,0,0,0,19,1,4,5,0,0,0,0,0,0,0,8,0,0,0,0,22,16,0,15,0,3,1,0,4,0,0,0,0,1,23,0,0,0,0,10,0,5,1,0,0,0,0,6,0,0,0,0,0,0,0,0,2,2,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,2,0,4,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,3,0,0,0,10,0,0,3,0,0,0,2
146,10,0,0,40,11,0,5,1,55,32,0,25,15,1,7,2,16,1,0,16,0,0,35,1,0,1,2,16,0,1,9,1,26,0,0,0,0,0,12,0,2,1,2,7,19,0,13,0,2,6,4,7,0,1,1,0,0,0,32,57,68,6,8,2,2,21,0,0,3,0,0,12,14,3,1,0,19,1,1,2,0,26,0,10,3,2,0,14,2,0,0,1,12,8,6,8,1,0,3,56,2,1,8,14,1,11,5,15,12,11,9,3,0,1,6,26,1,1,27,22,2,1,2,0,6,2,83,44,98,35,0,1,8,4,4,2,1,3,0,2,0,0,5,14,63,52,0,3,7,2,1,1,28,0,3,21,10,20,15,0,38,0,0,2,0,19,6,0,0,2,15,21,0,14,26,5,0,0,33,45,9,1,0,2,5,0,0,1,0,5,0,0,0,5,5,7,18,17,1,2,2,1,2,2,0,0,8,1,12,0,1,0,0,4,2,29,5,7,0,0,3,2,2,10,0,0,6,2,1,0,3,0,3,5,17,1,1,5,1,8,0,0,2,4,14,14,1,0,12,3,0,1,5,0,2,0,8,2,2,0,6,3,0,0,5,6,1,4,2,7,3,1,0,0,5,2,4,0,0,1,13,7,3,3,0,6,3,0,16,1,1,1,1,6,4,3,3,2,0,18,7,0,1,0,1,0,16,2,11,2,0,0,1,15,2,3,1,8,0,1,1,4,1,1,1,40,6,0
