,count
"(-74.01739796592196, 40.70845740998238, -74.01695833805474, 40.70905766172049)",4296
"(-74.01695833805474, 40.70905766172049, -74.01676485998686, 40.7093330258103)",4296
"(-74.01676485998686, 40.7093330258103, -74.01638142250701, 40.71007837180698)",4296
"(-74.01638142250701, 40.71007837180698, -74.01597926657278, 40.71108458623012)",596
"(-74.01638142250701, 40.71007837180698, -74.01521226901758, 40.70982972647772)",3700
"(-74.01706855760327, 40.70473099931219, -74.01684600650113, 40.704634885379704)",2645
"(-74.01706855760327, 40.70473099931219, -74.01704963760685, 40.70483662941912)",2645
"(-74.01684600650113, 40.704634885379704, -74.0167703433133, 40.70463219129162)",2645
"(-74.01704963760685, 40.70483662941912, -74.01669907442812, 40.70572823220991)",2645
"(-74.01669907442812, 40.70572823220991, -74.01642753723138, 40.70647764714563)",5613
"(-74.01642753723138, 40.70647764714563, -74.01620424871123, 40.70708727002185)",5613
"(-74.01620424871123, 40.70708727002185, -74.01589242648716, 40.70778875591472)",5613
"(-74.01589242648716, 40.70778875591472, -74.01543085526136, 40.70909728747892)",5613
"(-74.01521226901758, 40.70982972647772, -74.01496257961168, 40.710943186880726)",8441
"(-74.01521226901758, 40.70982972647772, -74.01543085526136, 40.70909728747892)",5613
"(-74.01508896610736, 40.71129592657811, -74.01461906258014, 40.71247013250396)",8441
"(-74.01508896610736, 40.71129592657811, -74.01516753240912, 40.711183306479256)",8441
"(-74.01461906258014, 40.71247013250396, -74.01454327378904, 40.71252875634058)",8441
"(-74.01660292148038, 40.71206606188914, -74.01658398687522, 40.71212906614689)",596
"(-74.01660292148038, 40.71206606188914, -74.01578577480306, 40.71156888060502)",596
"(-74.01658398687522, 40.71212906614689, -74.01639753217074, 40.7128977912469)",596
"(-74.01496257961168, 40.710943186880726, -74.01516753240912, 40.711183306479256)",8441
"(-74.01578577480306, 40.71156888060502, -74.01597926657278, 40.71108458623012)",596
"(-74.00046846939843, 40.68965914592817, -73.99912517443754, 40.68927496657783)",610
"(-74.00046846939843, 40.68965914592817, -74.00054817407835, 40.68968074438672)",610
"(-73.99912517443754, 40.68927496657783, -73.99899055836752, 40.6892410611496)",610
"(-73.99874207800303, 40.68917701419464, -73.99720210531751, 40.688749369290534)",610
"(-73.99874207800303, 40.68917701419464, -73.9988609596335, 40.68920780308257)",610
"(-73.99720210531751, 40.688749369290534, -73.99687398712891, 40.68943280543719)",610
"(-73.99899055836752, 40.6892410611496, -73.99893047391078, 40.68922580591131)",610
"(-73.99893047391078, 40.68922580591131, -73.9988609596335, 40.68920780308257)",610
"(-74.00054817407835, 40.68968074438672, -74.00047690871405, 40.689762486994184)",610
"(-74.00068439003799, 40.691897815108035, -74.0007730577876, 40.69189575777485)",1012
"(-74.00068439003799, 40.691897815108035, -73.99992106330963, 40.69167430257896)",1012
"(-74.0007730577876, 40.69189575777485, -74.00179432019102, 40.69218477593522)",1012
"(-74.00047690871405, 40.689762486994184, -73.99973054792906, 40.69134584825779)",610
"(-73.99973054792906, 40.69134584825779, -73.99992106330963, 40.69167430257896)",610
"(-74.00179432019102, 40.69218477593522, -74.0016998943102, 40.69238276685164)",1012
"(-74.0016998943102, 40.69238276685164, -74.00161727547274, 40.692549071171584)",1012
"(-74.00161727547274, 40.692549071171584, -74.00150636160558, 40.692772330543065)",1012
"(-73.99687398712891, 40.68943280543719, -73.9965480514989, 40.690103525408944)",610
"(-73.99623278138093, 40.69075777436566, -73.9965480514989, 40.690103525408944)",515
"(-73.99623278138093, 40.69075777436566, -73.9959143567291, 40.691415489268564)",574
"(-73.9965480514989, 40.690103525408944, -73.99467753931718, 40.68958293943249)",1003
"(-73.9959143567291, 40.691415489268564, -73.99508016968834, 40.693147214213084)",574
"(-73.99467753931718, 40.68958293943249, -73.9926855276102, 40.6890332467882)",714
"(-73.99467753931718, 40.68958293943249, -73.99436092810406, 40.69023947955109)",289
"(-73.9926855276102, 40.6890332467882, -73.99262286067041, 40.68916054835773)",714
"(-73.99436092810406, 40.69023947955109, -73.99404558824455, 40.69089726151881)",289
"(-73.99262286067041, 40.68916054835773, -73.99109339526466, 40.6885710361429)",714
"(-73.99109339526466, 40.6885710361429, -73.98961242294853, 40.68799183683174)",146
"(-73.99109339526466, 40.6885710361429, -73.99070669561522, 40.6891367440781)",568
"(-73.98961242294853, 40.68799183683174, -73.98916812738946, 40.68861555450313)",146
"(-73.99070669561522, 40.6891367440781, -73.99047488143682, 40.68914107460354)",568
