,id,date,lat,lon,geometry,ct2010,boro_code
0,116,201310,40.74177603,-74.00149746,POINT (-74.00149746 40.74177603),008300,1
1,212,201310,40.74334935,-74.00681753,POINT (-74.00681753000001 40.74334935),008300,1
2,434,201310,40.74317449,-74.00366443,POINT (-74.00366443 40.74317449),008300,1
3,463,201310,40.74206539,-74.00443172,POINT (-74.00443172 40.74206539),008300,1
4,119,201310,40.69608941,-73.97803415,POINT (-73.97803415 40.69608941),002901,3
5,120,201310,40.68676793,-73.95928168,POINT (-73.95928168 40.68676793),023300,3
6,409,201310,40.6906495,-73.95643107,POINT (-73.95643106999999 40.6906495),023300,3
7,127,201310,40.73172428,-74.00674436,POINT (-74.00674436 40.73172428),006900,1
8,358,201310,40.73291553,-74.00711384,POINT (-74.00711384 40.73291553),006900,1
9,128,201310,40.72710258,-74.00297088,POINT (-74.00297088000001 40.72710258),003700,1
10,2004,201310,40.724399,-74.004704,POINT (-74.004704 40.724399),003700,1
11,347,201507,40.728846,-74.008591,POINT (-74.008591 40.728846),003700,1
12,377,201310,40.72243797,-74.00566443,POINT (-74.00566443 40.72243797),003700,1
13,137,201310,40.761628,-73.972924,POINT (-73.97292400000001 40.761628),010200,1
14,456,201310,40.7597108,-73.97402311,POINT (-73.97402311 40.7597108),010200,1
15,143,201310,40.69239502,-73.99337909,POINT (-73.99337909 40.69239502),000700,3
16,157,201310,40.69089272,-73.99612349,POINT (-73.99612349 40.69089272),000700,3
17,144,201310,40.69839895,-73.98068914,POINT (-73.98068914 40.69839895),002300,3
18,146,201310,40.71625008,-74.0091059,POINT (-74.00910589999999 40.71625008),003300,1
19,248,201310,40.72185379,-74.00771779,POINT (-74.00771779 40.72185379),003300,1
20,257,201310,40.71939226,-74.00247214,POINT (-74.00247213999999 40.71939226),003300,1
21,320,201403,40.717571,-74.005549,POINT (-74.005549 40.717571),003300,1
22,79,201310,40.71911552,-74.00666661,POINT (-74.00666661 40.71911552),003300,1
23,147,201310,40.71542197,-74.01121978,POINT (-74.01121978 40.71542197),002100,1
24,152,201310,40.71473993,-74.00910627,POINT (-74.00910627 40.71473993),002100,1
25,309,201310,40.7149787,-74.013012,POINT (-74.013012 40.7149787),002100,1
26,417,201310,40.71291224,-74.01020234,POINT (-74.01020234000001 40.71291224),002100,1
27,150,201310,40.7208736,-73.98085795,POINT (-73.98085795 40.7208736),002202,1
28,151,201510,40.722103786686034,-73.99724900722504,POINT (-73.99724900722504 40.72210378668603),004500,1
29,268,201310,40.71910537,-73.99973337,POINT (-73.99973337 40.71910537),004500,1
30,153,201501,40.75206231,-73.9816324,POINT (-73.9816324 40.75206231),008200,1
31,3234,201510,40.75159368451112,-73.98043155670166,POINT (-73.98043155670166 40.75159368451112),008200,1
32,3235,201510,40.752165280621966,-73.97992193698882,POINT (-73.97992193698882 40.75216528062197),008200,1
33,167,201310,40.7489006,-73.97604882,POINT (-73.97604882 40.7489006),008000,1
34,517,201409,40.751581,-73.97791,POINT (-73.97790999999999 40.751581),008000,1
35,519,201409,40.751873,-73.977706,POINT (-73.977706 40.751873),008000,1
